turgor	constant	0.495
expgro	constant	2.5
growthbysub	constant	1.0
cwt	pearson	0.0362	0.591	16.81	0.5
Set	R	X	s	Phi	Kappa_s	Kappa_t	Nu
Ectocarpus	-3.26720306788	0.0	-30.0200232046	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	0.21838217355	-29.8016410311	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	0.435996787742	-29.5840264169	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	0.631342690088	-29.3886805145	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	0.822973761699	-29.1970494429	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	1.003873968	-29.0161492366	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	1.22672122992	-28.7933019747	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	1.43370339684	-28.5863198078	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	1.64368076509	-28.3763424395	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	1.82945711512	-28.1905660895	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	2.02271720876	-27.9973059959	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	2.21644040635	-27.8035827983	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	2.41788942857	-27.6021337761	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	2.62476279855	-27.3952604061	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	2.83004014376	-27.1899830609	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	3.02063213599	-26.9993910686	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	3.1944413705	-26.8255818341	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	3.40948912141	-26.6105340832	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	3.62086208621	-26.3991611184	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	3.81704036164	-26.202982843	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	4.02265078704	-25.9973724176	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	4.21936576335	-25.8006574413	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	4.41237008122	-25.6076531234	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	4.61194361961	-25.408079585	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	4.81870372638	-25.2013194782	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	5.02151459441	-24.9985086102	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	5.22460069875	-24.7954225059	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	5.41964601254	-24.6003771921	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	5.62601166583	-24.3940115388	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	5.82381516026	-24.1962080444	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	6.0218884699	-23.9981347347	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	6.21823156314	-23.8017916415	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	6.41002201006	-23.6100011946	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	6.61150720794	-23.4085159967	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	6.82333343894	-23.1966897657	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	7.0172666254	-23.0027565792	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	7.22216969384	-22.7978535108	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	7.40753523835	-22.6124879663	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	7.61059595748	-22.4094272471	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	7.80809409785	-22.2119291068	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	8.01999654965	-22.000026655	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	8.22167369366	-21.798349511	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	8.42688129051	-21.5931419141	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	8.62517207264	-21.394851132	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	8.83347505098	-21.1865481536	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	9.02928475902	-20.9907384456	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	9.23382580424	-20.7861974004	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	9.43907866431	-20.5809445403	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	9.61962253989	-20.4004006647	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	9.81644907459	-20.20357413	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	10.0189507443	-20.0010724603	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	10.2121038237	-19.8079193809	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	10.4077385729	-19.6122846317	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	10.6057226235	-19.4143005811	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	10.8110544113	-19.2089687933	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	11.0267111621	-18.9933120425	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	11.2361657166	-18.783857488	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	11.4215305504	-18.5984926542	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	11.6067812811	-18.4132419235	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	11.816898411	-18.2031247936	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	12.0262446649	-17.9937785397	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	12.2325819606	-17.7874412441	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	12.432260579	-17.5877626256	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	12.6259927548	-17.3940304498	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	12.8182673234	-17.2017558812	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	13.0156257572	-17.0043974474	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	13.2194479298	-16.8005752749	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	13.4260241372	-16.5939990675	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	13.6239563725	-16.3960668321	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	13.819192694	-16.2008305106	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	14.0108761902	-16.0091470144	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	14.2148799921	-15.8051432125	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	14.4195587689	-15.6004644357	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	14.6050799063	-15.4149432983	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	14.8125225407	-15.2075006639	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	15.0068681655	-15.0131550392	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	15.2141338634	-14.8058893412	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	15.424325561	-14.5956976437	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	15.6155407077	-14.4044824969	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	15.8160045923	-14.2040186123	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	16.0330115763	-13.9870116284	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	16.2178031814	-13.8022200232	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	16.4039817109	-13.6160414937	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	16.6135378023	-13.4064854023	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	16.8235981309	-13.1964250737	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	17.0375221591	-12.9825010456	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	17.2400666992	-12.7799565055	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	17.4297531456	-12.590270059	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	17.6253457515	-12.3946774531	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	17.8238714759	-12.1961517287	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	18.0166924205	-12.0033307842	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	18.2148743985	-11.8051488061	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	18.4118576058	-11.6081655988	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	18.6226551795	-11.3973680251	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	18.8172079758	-11.2028152288	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	19.0147716513	-11.0052515533	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	19.2248316034	-10.7951916013	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	19.4161302783	-10.6038929263	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	19.6164983683	-10.4035248363	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	19.820503819	-10.1995193856	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	20.01480727	-10.0052159346	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	20.2216061756	-9.79841702906	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	20.4249666695	-9.59505653515	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	20.6247257387	-9.39529746591	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	20.8249474698	-9.19507573485	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	21.0312213221	-8.9888018825	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	21.2182428249	-8.80178037975	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	21.4112783485	-8.60874485613	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26720306788	21.618482244	-8.40154096064	1.57079632679	0.0	0.306072190563	0.5
Ectocarpus	-3.26713213402	21.8113469771	-8.20867621444	1.57006074533	0.00381397573622	0.306078752998	0.493769616971
Ectocarpus	-3.26675834701	22.0055838671	-8.01443896482	1.5676831384	0.0122407362029	0.30611237435	0.480006139528
Ectocarpus	-3.26581467831	22.2191591849	-7.80086156227	1.56507270228	0.0122224359183	0.306197294889	0.48004156777
Ectocarpus	-3.26436114073	22.4170906343	-7.60292477577	1.56183293254	0.016367699	0.306326348692	0.473283886499
Ectocarpus	-3.26225854754	22.6127717021	-7.40723241217	1.55827054692	0.018204009383	0.306512049512	0.470304577892
Ectocarpus	-3.2594288883	22.8043374484	-7.21564576819	1.55378182061	0.0234292235227	0.306757806673	0.461811528488
Ectocarpus	-3.25543762087	23.0040522502	-7.01589108803	1.54784648229	0.0297131377392	0.307097472078	0.451622627275
Ectocarpus	-3.24999831353	23.2080891193	-6.81178173001	1.54044188966	0.0362775754065	0.307550725576	0.441021801625
Ectocarpus	-3.24282794165	23.4156288045	-6.60411821574	1.53207943505	0.040269253061	0.308141724676	0.434657902783
Ectocarpus	-3.23353027201	23.6268366178	-6.39270585318	1.52152716795	0.0499131979697	0.308884233786	0.419204037451
Ectocarpus	-3.22294715902	23.8202270574	-6.1990260545	1.51072639471	0.055766132102	0.309715392415	0.409971971901
Ectocarpus	-3.210165756	24.0134003462	-6.00543038366	1.49872790624	0.0619770494588	0.31070177399	0.400262800783
Ectocarpus	-3.19358980472	24.2228080028	-5.79536770537	1.48488140554	0.0659160438113	0.311972308189	0.394355937881
Ectocarpus	-3.17431496903	24.4284683894	-5.58880605861	1.46981384449	0.0729446210318	0.313423718254	0.383632576631
Ectocarpus	-3.15286895024	24.6243662949	-5.39173774276	1.45369629725	0.0817865985927	0.314999334965	0.370179728154
Ectocarpus	-3.12593325303	24.835327861	-5.17906354558	1.43390942022	0.0930384470064	0.316911951669	0.353210889466
